횡단보도ID,교차로,신호등,학교위치,불법주정차수,무인단속카메라,표지판,스마트횡단보도,지하철승하차,버스승하차,카페수,위험지수,사고건수,학원수
06-0000036765,0,0,0,0,0,0,0,136.7350427,0.5203195352,0,0,0,0
06-0000036763,0,0,1,0,0,0,0,136.7350427,0.5601642711,0,0,2,0
06-0000036761,0,0,1,0,0,0,0,136.7350427,0.650399419,0,0,2,0
06-0000036762,0,0,1,0,0,0,0,136.7350427,0.650399419,0,0,0,0
06-0000038099,0,0,1,0,0,0,0,109.3880342,0.8725203252,0,1,4,0
06-0000036764,0,0,0,0,0,0,0,136.7350427,0.650399419,0,0,0,0
06-0000014300,1,1,1,0,0,8,0,109.3880342,1.090650407,0,0,2,0
06-0000036756,1,0,1,0,0,0,0,136.7350427,0.5203195352,0,2,8,0
06-0000036755,1,0,1,0,0,0,0,136.7350427,0.4481314168,0,2,7,0
06-0000036757,1,1,1,0,0,4,0,136.7350427,0.5203195352,0,2,10,0
06-0000036758,1,0,1,0,0,0,0,136.7350427,0.5203195352,0,1,3,0
06-0000036760,1,1,1,0,0,6,0,136.7350427,1.764495065,0,1,3,0
06-0000036759,1,1,1,0,0,4,0,136.7350427,1.764495065,0,1,3,0
06-0000036754,1,1,1,0,0,1,0,136.7350427,1.764495065,0,1,6,0
06-0000038101,0,0,1,0,0,0,0,136.7350427,1.323371298,0,2,7,0
06-0000037117,1,1,1,0,0,7,0,136.7350427,1.764495065,0,2,10,0
06-0000033531,1,1,1,0,0,12,0,136.7350427,1.764495065,0,2,10,0
06-0000038344,1,1,1,0,0,13,0,136.7350427,1.764495065,0,2,13,0
06-0000037116,1,1,1,0,0,13,0,136.7350427,1.764495065,0,2,13,0
06-0000038111,1,0,1,0,0,0,0,136.7350427,1.764495065,0,2,10,0
06-0000046662,0,0,1,0,0,0,0,109.3880342,2.205618831,0,0,2,0
06-0000038098,0,0,1,0,0,0,0,109.3880342,2.205618831,0,1,3,0
06-0000038119,0,0,1,0,0,0,0,109.3880342,1.406504065,1,1,3,0
06-0000038120,0,0,0,0,0,0,0,109.3880342,1.125203252,1,1,3,0
06-0000019177,1,0,1,0,0,0,0,331.5979487,0.7472195122,0,0,0,0
06-0000041576,0,0,0,0,0,0,0,109.3880342,0.2843577236,0,0,2,0
06-0000038121,0,0,0,0,0,0,0,109.3880342,0.2132682927,0,0,2,0
06-0000038122,0,0,0,0,0,0,0,82.04102564,0.2132682927,1,0,2,0
06-0000038163,0,0,1,0,0,0,0,27.34700855,2.366504065,0,1,6,0
06-0000027999,0,0,1,0,0,0,0,82.04102564,0.3554471545,0,1,4,0
06-0000028000,1,1,1,0,0,2,0,210.8958974,0.3554471545,0,2,8,0
06-0000013632,1,1,1,0,0,16,0,210.8958974,1.136826783,0,2,8,0
06-0000028002,1,0,1,0,0,0,0,210.8958974,1.136826783,0,2,10,0
06-0000037791,1,0,1,0,0,0,0,210.8958974,1.136826783,0,2,10,0
06-0000000054,1,0,1,0,1,0,0,210.8958974,0.7749268293,1,0,0,0
06-0000028001,1,0,1,0,0,0,0,210.8958974,0.9094614265,0,2,8,0
06-0000014437,0,0,1,18.05205479,0,0,0,1326.391795,1.426195122,6,0,0,0
06-0000014299,1,1,1,0,1,10,0,210.8958974,0.8247560976,0,2,8,0
06-0000002245,1,0,1,33.33013699,0,0,0,1326.391795,5.98295935,0,0,2,0
06-0000000930,1,1,1,0,1,8,0,281.1945299,0.8247560976,0,2,14,0
06-0000013039,1,1,1,0,1,44,0,281.1945299,0.8247560976,0,2,16,0
06-0000000036,1,1,1,33.33013699,0,3,0,1326.391795,5.98295935,0,0,1,0
06-0000013038,1,1,1,0,1,2,0,281.1945299,0.8247560976,0,2,19,0
06-0000037794,1,1,1,0,1,1,0,281.1945299,0.8247560976,0,2,20,0
06-0000037040,1,0,1,0,1,0,0,281.1945299,0.8247560976,0,2,20,0
06-0000000037,1,0,1,33.33013699,0,0,0,1326.391795,5.98295935,0,0,0,0
06-0000000042,1,1,1,33.33013699,0,3,0,1326.391795,5.98295935,0,0,2,0
06-0000014253,0,0,0,0,0,0,0,1326.391795,6.049886179,0,0,1,0
06-0000000055,0,0,1,0,1,0,0,281.1945299,1.033235772,0,0,2,0
06-0000013040,1,1,1,0,1,1,0,281.1945299,1.099674797,0,2,20,0
06-0000001712,1,0,1,0,1,0,0,281.1945299,1.099674797,0,2,16,0
06-0000013041,1,1,1,0,1,56,0,281.1945299,1.099674797,0,2,18,0
06-0000014023,0,0,1,0,0,0,0,994.7938462,0.2843902439,0,0,0,0
06-0000014046,0,0,1,0,0,0,0,1326.391795,6.049886179,3,0,0,0
06-0000000041,1,0,1,33.33013699,0,0,0,1326.391795,5.98295935,0,0,1,0
06-0000037772,1,1,1,0,0,10,0,281.1945299,1.033235772,0,1,3,0
06-0000037818,1,1,1,0,0,5,1,281.1945299,1.033235772,0,1,3,0
06-0000037805,1,0,1,0,1,0,0,281.1945299,1.033235772,0,1,3,0
06-0000037771,1,0,1,0,1,0,0,281.1945299,1.033235772,0,1,3,0
06-0000037819,1,0,1,0,1,0,0,281.1945299,1.033235772,0,1,3,0
06-0000000057,1,1,1,0,1,2,0,281.1945299,1.033235772,0,1,3,0
06-0000000061,1,1,1,0,1,3,0,281.1945299,1.033235772,0,1,4,0
06-0000014250,1,0,1,0,0,0,0,1326.391795,4.537414634,0,0,0,0
06-0000014027,0,0,1,0,0,0,0,210.8958974,0.2843902439,0,0,0,0
06-0000003614,0,0,1,0,1,0,0,281.1945299,1.291544715,0,2,7,0
06-0000012408,0,0,1,0.091780822,1,0,0,281.1945299,1.033235772,0,1,6,0
06-0000014246,0,0,1,0,0,0,0,994.7938462,3.736097561,0,0,2,0
06-0000046525,1,0,1,0,0,0,0,994.7938462,4.537414634,0,0,0,0
06-0000026278,1,1,1,0.095890411,0,20,0,281.1945299,0.3791869919,0,1,5,0
06-0000002634,0,0,1,0,0,0,0,994.7938462,3.736097561,0,1,3,0
06-0000037770,1,1,1,0.095890411,0,50,0,281.1945299,0.3791869919,0,1,5,0
06-0000014251,1,0,1,0,0,0,0,994.7938462,4.487219512,0,0,1,0
06-0000012938,0,0,0,0,0,0,0,13.67350427,0.5916260163,0,2,13,0
06-0000024272,0,0,1,0,1,0,0,281.1945299,1.374593496,1,1,4,0
06-0000015755,1,1,1,0.095890411,0,32,0,281.1945299,0.3791869919,0,1,5,0
06-0000050952,0,0,1,0,1,0,0,351.4931624,1.374593496,1,1,5,0
06-0000014047,1,0,1,0,0,0,0,994.7938462,2.426666667,0,0,1,0
06-0000013963,1,1,1,0.095890411,0,18,0,281.1945299,0.3791869919,0,1,5,0
06-0000024273,1,0,1,0,1,0,0,351.4931624,1.374593496,1,1,4,0
06-0000013042,1,0,1,0,1,0,0,351.4931624,1.374593496,1,1,4,0
06-0000013964,1,1,1,0.095890411,1,14,0,281.1945299,0.4739837398,0,1,5,0
06-0000015756,1,1,1,0,0,8,0,994.7938462,3.033333333,0,1,4,0
06-0000031628,0,0,1,0,1,0,0,351.4931624,1.976904762,1,0,0,0
06-0000020801,0,0,1,0.171232877,0,0,0,281.1945299,0.3791869919,0,0,0,0
